# n	a_n	A033323_n	p3_orbits	provenance
1	0	0	0	prior_oeis
2	0	0	0	prior_oeis
3	0	0	0	prior_oeis
4	0	0	0	prior_oeis
5	288	32	4	prior_oeis
6	2112	128	36	prior_oeis
7	11928	344	227	prior_oeis
8	66192	1072	1312	prior_oeis
9	353544	3400	7153	prior_oeis
10	1817208	9832	37244	prior_oeis
11	9092592	27600	187704	prior_oeis
12	44547912	77000	923269	prior_oeis
13	214532136	211736	4456186	prior_oeis
14	1019264736	572560	21198897	prior_oeis
15	4783813296	1534512	99566870	prior_oeis
16	22238211480	4072664	463041531	prior_oeis
17	102424615968	10725424	2133175827	prior_oeis
18	468396156360	28035128	9756501062	prior_oeis
19	2126459849880	72831272	44296694918	campaign
20	9600694064496	188139616	200002700951	campaign
21	43090682243160	483452824	897692330931	campaign
22	192553331372616	1236865976	4011450432806	campaign
23	856234452257592	3150044696	17838020877573	published_lee
24	3793782481788456	7994665480	79036635370667	published_hsieh
25	16740109801232352	20209319824	348751024443185	published_hsieh
26	73645193456914224	50942982080	1534271679749333	published_hsieh

27	322845646222032480	127962421824	6725942965307646	published_hsieh

